# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	122887
#@/user_id	6af16447-f9f1-43b9-a6ee-fea5984459fe
ba da xiang 	把大象	c=1 d=1.21593e-06 t=103452
ba diao 	拔掉	c=3 d=1.96561 t=121684
ba dou 	巴豆	c=1 d=1.26449e-143 t=103452
ba guang le 	扒光了	c=1 d=3.05436e-136 t=103452
ba hua 	把話	c=1 d=4.2854e-120 t=103452
ba huang hou 	八皇后	c=5 d=6.4919e-112 t=103452
ba ji si tan 	巴基斯坦	c=1 d=2.04651e-219 t=103452
ba la 	巴拉	c=0 d=2.09067e-89 t=103452
ba la ba la 	巴拉巴拉	c=1 d=2.10116e-88 t=103452
ba le 	把了	c=1 d=6.24648e-200 t=103452
ba le 	拔了	c=4 d=5.14941e-147 t=103452
ba le 	罷了	c=5 d=7.67467e-05 t=103452
ba liang zhong 	把兩種	c=1 d=2.41313e-99 t=103452
ba liao 	罷了	c=1 d=1.07233e-145 t=103452
ba liao 	罷遼	c=2 d=1.92312 t=105946
ba liu liang 	吧流量	c=1 d=8.45167e-110 t=103452
ba lun 	八輪	c=1 d=1.36882e-17 t=103452
ba na ge 	把那個	c=2 d=1.25715e-104 t=103452
ba ni 	把你	c=10 d=1.00232 t=122814
ba ni da xing 	把你打醒	c=1 d=3.9912e-195 t=103452
ba ni de 	把你的	c=1 d=1.42328e-123 t=103452
ba ni zhe xie 	吧你這些	c=1 d=1 t=116791
ba qian 	把錢	c=1 d=6.31955e-131 t=103452
ba qun 	拔羣	c=0 d=7.63022e-114 t=103452
ba ren 	把人	c=1 d=1.69311e-136 t=103452
ba shu 	巴蜀	c=1 d=3.01729e-110 t=103452
ba ta 	把他	c=4 d=6.31371e-32 t=103452
ba ta 	把她	c=2 d=1 t=121178
ba tui jiu pao 	拔腿就跑	c=1 d=1.8151e-219 t=103452
ba wo 	把我	c=2 d=1 t=113923
ba wo 	把握	c=7 d=0.00109719 t=103452
ba yan jing 	把眼睛	c=1 d=2.27129e-151 t=103452
ba yue 	八月	c=1 d=5.55142e-77 t=103452
ba zhe 	把這	c=2 d=1.53559e-47 t=103452
ba zhe ge 	把這個	c=8 d=4.86224e-47 t=103452
ba zhe ji hang 	把這幾行	c=1 d=2.87356e-124 t=103452
ba zhe wan yi 	吧這玩意	c=-1 d=3.95389e-114 t=103452
ba zhe wan yi 	把這玩意	c=1 d=1.54329e-46 t=103452
ba zi ji de 	把自己的	c=1 d=2.89248e-113 t=103452
bai 	拜	c=2 d=1.04678e-117 t=103452
bai 	擺	c=0 d=6.78585e-146 t=103452
bai 	敗	c=2 d=1.084e-117 t=103452
bai 	白	c=6 d=0.100002 t=108760
bai 	百	c=3 d=2.19078e-197 t=103452
bai ban 	白板	c=3 d=3.38657e-82 t=103452
bai bu zhuan 	白不賺	c=1 d=1.72674e-132 t=103452
bai chen shan 	白襯衫	c=1 d=9.80668e-36 t=103452
bai chu lai 	擺出來	c=1 d=6.04886e-116 t=103452
bai ci zhan 	百詞斬	c=1 d=0.0169922 t=103452
bai da gua 	白大褂	c=4 d=1.05576 t=109586
bai de 	白的	c=3 d=2.93669e-18 t=103452
bai ding 	白丁	c=1 d=1.11332e-57 t=103452
bai du 	百度	c=75 d=1.03137 t=122801
bai du de 	百度的	c=1 d=5.45778e-24 t=103452
bai du wen ku 	百度文庫	c=1 d=6.38999e-85 t=103452
bai du yun 	百度雲	c=20 d=1 t=119121
bai duan 	掰短	c=1 d=3.51851e-212 t=103452
bai fei 	白費	c=1 d=3.62232e-113 t=103452
bai fei shi jian 	白費時間	c=1 d=3.8896e-127 t=103452
bai fen bai 	百分百	c=1 d=1.41873e-56 t=103452
bai ge 	白哥	c=1 d=1 t=103672
bai gei 	敗給	c=1 d=7.37656e-128 t=103452
bai gei 	白給	c=11 d=1 t=121203
bai gei le 	白給了	c=1 d=3.17889e-18 t=103452
bai gong 	白宮	c=1 d=3.17662e-39 t=103452
bai hang 	百行	c=1 d=3.59082e-216 t=103452
bai he 	百合	c=2 d=2.18103e-27 t=103452
bai hua 	白話	c=1 d=0.1 t=122023
bai hua 	百花	c=0 d=1.30842e-134 t=103452
bai hua xiang 	百花香	c=1 d=1.31497e-133 t=103452
bai huo 	百貨	c=1 d=1 t=118933
bai jiu 	白酒	c=2 d=1.98511 t=105438
bai juan 	白卷	c=1 d=9.48136e-139 t=103452
bai ke 	百科	c=1 d=2.49621e-203 t=103452
bai le 	百樂	c=1 d=3.44228e-219 t=103452
bai li 	百利	c=1 d=9.65677e-90 t=103452
bai li jin 	百利金	c=1 d=3.9195e-217 t=103452
bai lu 	白鷺	c=0 d=7.51222e-19 t=103452
bai mao 	白毛	c=2 d=3.63836e-18 t=103452
bai ming dan 	白名單	c=10 d=4.80682e-51 t=103452
bai nian 	拜年	c=1 d=1.86755e-26 t=103452
bai nian ji 	拜年祭	c=1 d=1.87691e-25 t=103452
bai piao 	白嫖	c=10 d=1 t=121161
bai piao shi dai 	白嫖時代	c=1 d=3.2767e-51 t=103452
bai qi 	白棋	c=2 d=1.52566e-109 t=103452
bai qiu en 	白求恩	c=1 d=1 t=117421
bai se 	白色	c=1 d=1 t=120555
bai shu ju 	擺數據	c=2 d=3.76746e-134 t=103452
bai si 	白絲	c=4 d=7.05843e-79 t=103452
bai tian 	白天	c=9 d=1 t=118337
bai tuo 	擺脫	c=2 d=1 t=112871
bai wei qi 	柏瑋琦	c=12 d=1 t=119533
bai xiang guo 	百香果	c=2 d=5.12426e-135 t=103452
bai xing 	百姓	c=0 d=2.65009e-55 t=103452
bai xing jia 	百姓家	c=1 d=3.82856e-88 t=103452
bai xue bing 	白血病	c=1 d=3.61877e-219 t=103452
bai yan lang 	白眼狼	c=1 d=6.98417e-131 t=103452
bai zhe 	敗者	c=1 d=0.1 t=114698
bai zhe shu 	敗者樹	c=1 d=1 t=114699
bai zheng 	白整	c=1 d=2.00058e-11 t=103452
bai zhuan 	白賺	c=1 d=1.39761e-56 t=103452
ban 	半	c=8 d=1 t=121716
ban 	扮	c=1 d=5.19779e-38 t=103452
ban 	搬	c=2 d=1 t=111597
ban 	版	c=17 d=1 t=107015
ban 	班	c=18 d=0.1 t=113998
ban 	般	c=1 d=1 t=108789
ban 	辦	c=2 d=1 t=114000
ban ban 	板板	c=0 d=0.000530026 t=103452
ban ben 	版本	c=87 d=1.00131 t=122479
ban ben hao 	版本號	c=1 d=8.97091e-135 t=103452
ban ben kong zhi 	版本控制	c=1 d=1 t=116795
ban bian 	半邊	c=1 d=0.1 t=110135
ban dao ti 	半導體	c=1 d=1.63889e-106 t=103452
ban de 	班的	c=1 d=2.03284e-199 t=103452
ban de 	辦的	c=1 d=1.50832e-188 t=103452
ban deng 	板凳	c=2 d=2.72199e-16 t=103452
ban dong xi 	搬東西	c=1 d=1 t=103783
ban fa 	辦法	c=17 d=1 t=120489
ban ge 	半個	c=1 d=3.10317e-146 t=103452
ban ge 	搬個	c=1 d=7.43651e-134 t=103452
ban ge jiang 	頒個獎	c=1 d=1.30469e-217 t=103452
ban ge yue 	半個月	c=1 d=2.73789e-202 t=103452
ban gong shi 	辦公室	c=1 d=1.13787e-137 t=103452
ban hu sha 	半壺紗	c=1 d=1 t=115641
ban ji 	班級	c=4 d=1.95358e-100 t=103452
ban jia 	半價	c=2 d=1 t=119661
ban jin ba liang 	半斤八兩	c=1 d=4.36898e-112 t=103452
ban jing 	半徑	c=1 d=1 t=122716
ban lai 	搬來	c=1 d=3.77761e-195 t=103452
ban le 	搬了	c=1 d=1.57449e-193 t=103452
ban li 	班裏	c=3 d=0.1 t=105921
ban mian 	拌麪	c=1 d=3.79341e-09 t=103452
ban nao 	半惱	c=1 d=6.63091e-138 t=103452
ban qun 	班羣	c=3 d=5.10946e-101 t=103452
ban shi 	辦事	c=1 d=6.7653e-80 t=103452
ban shou 	扳手	c=2 d=2.37108e-17 t=103452
ban tian 	半天	c=5 d=6.57494e-09 t=103452
ban xiao shi 	半小時	c=9 d=1 t=119374
ban xiao shi le 	半小時了	c=1 d=2.86566e-121 t=103452
ban xie 	板鞋	c=1 d=1.94636e-217 t=103452
ban ye 	半夜	c=1 d=3.5341e-117 t=103452
ban yin jie 	半音階	c=1 d=1 t=122823
ban yue 	半月	c=0 d=1.46303e-07 t=103452
ban yun 	搬運	c=1 d=2.88011e-92 t=103452
ban zhang 	班長	c=2 d=5.70845e-111 t=103452
ban zhe 	半折	c=1 d=5.74175e-150 t=103452
ban zhu ren 	班主任	c=1 d=7.2374e-197 t=103452
ban zhuan 	搬磚	c=6 d=7.79704e-44 t=103452
ban zi 	板子	c=2 d=5.09135e-111 t=103452
bang 	幫	c=23 d=1.20513 t=119797
bang 	綁	c=0 d=1.34587e-25 t=103452
bang bang 	棒棒	c=1 d=3.05281e-130 t=103452
bang bang 	邦邦	c=1 d=1.30708e-121 t=103452
bang bie ren 	幫別人	c=4 d=1.25079e-15 t=103452
bang ding 	綁定	c=2 d=7.0177e-11 t=103452
bang ge mang 	幫個忙	c=1 d=5.31165e-87 t=103452
bang jia 	綁架	c=0 d=3.84538e-23 t=103452
bang jia le 	綁架了	c=2 d=8.87683e-22 t=103452
bang le 	幫了	c=1 d=1.43436e-126 t=103452
